flag,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
CHN,3613,1764032.9248410545,1012758.4408490969,657761634.2011421,1,1,1,2,1.25
TWN,1082,729064.5110482604,729432.4515277782,611764755.0658579,2,3,2,3,2.5
RUS,448,915866.7463503329,303790.0825000003,800219413.7391249,3,2,3,1,2.25
KOR,436,349353.7184578128,160327.6465277778,185438157.50280914,4,4,6,5,4.75
JPN,290,253948.47728641136,236874.49333333308,199716316.52407932,6,5,4,4,4.75
USA,266,242057.68344435116,67233.8115277778,158435071.92527184,7,6,8,6,6.75
ESP,232,191376.2426728764,220875.3248611115,137364173.78429088,8,9,5,7,7.25
ARG,107,130282.25906528637,22885.9361111111,30447389.39659064,11,10,19,18,14.5
NOR,106,238691.94114642864,35387.711388888834,91518518.41632617,12,7,14,8,10.25
ISL,91,192155.95113159332,18212.573333333323,90228412.31406423,14,8,23,9,13.5
