eez_code,eez_name,eez_territory_iso3,eez_sovereign_iso3,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
8327,South Korean Exclusive Economic Zone,KOR,KOR,1988,968010.5085937592,59463.50736111111,27890342.8336807,1,1,22,33,14.25
8316,Micronesian Exclusive Economic Zone,FSM,FSM,319,465259.0795521587,212823.96055555547,205775906.9508399,6,3,2,3,3.5
8343,Mauritian Exclusive Economic Zone,MUS,MUS,235,204080.15886609367,152347.32027777776,102732350.78218827,8,21,5,10,11
8389,Disputed area Falkland Islands Exclusive Economic Zone: UK / Argentina,FLK,GBR,227,381848.50776702043,114968.6887499995,201287880.04420802,9,6,8,5,7
8314,Solomon Islands Exclusive Economic Zone,SLB,SLB,223,281739.8231295113,342196.8981944456,206417000.1458106,11,12,1,2,6.5
8318,Marshall Islands Exclusive Economic Zone,MHL,MHL,209,341959.58660945774,97566.19249999999,52319849.35938703,12,9,10,25,14
8337,Seychellois Exclusive Economic Zone,SYC,SYC,194,249474.58084145916,107562.26374999997,93986957.99079323,13,16,9,15,13.25
8324,Papua New Guinean Exclusive Economic Zone,PNG,PNG,191,386870.33902002603,152824.87291666665,184558487.7419008,14,5,4,6,7.25
5690,Russian Exclusive economic Zone,RUS,RUS,176,273941.24619193043,79668.26875000147,184178447.7395211,18,13,17,7,13.75
8369,Mauritanian Exclusive Economic Zone,MRT,MRT,151,247678.2974951321,164467.6309722224,101303976.96529466,22,17,3,11,13.25
